benchmark,model,surface,run,n_common,n_scored,accuracy
metabench-mmlu,chatgpt-thinking,api,run_3,95,95,0.957895
metabench-mmlu,chatgpt-thinking,interface,run_3,95,95,0.873684
metabench-mmlu,chatgpt-thinking,api,run_4,92,92,0.956522
metabench-mmlu,chatgpt-thinking,interface,run_4,92,92,0.967391
metabench-mmlu,claude-haiku,api,run_0,92,92,0.934783
metabench-mmlu,claude-haiku,interface,run_0,92,92,0.934783
metabench-mmlu,claude-haiku,api,run_1,91,91,0.912088
metabench-mmlu,claude-haiku,interface,run_1,91,91,0.934066
metabench-mmlu,claude-haiku,api,run_2,89,89,0.955056
metabench-mmlu,claude-haiku,interface,run_2,89,89,0.921348
metabench-mmlu,claude-haiku,api,run_3,92,92,0.913043
metabench-mmlu,claude-haiku,interface,run_3,92,92,0.923913
metabench-mmlu,claude-haiku,api,run_4,93,93,0.935484
